Gene_ID	Ctrl_F1	Ctrl_F2	AIS_M1	Ctrl_M1	AIS_M2	Ctrl_M2	Ctrl_M3	AIS_M3	AIS_M4	AIS_M5	AIS_M6	Ctrl_M4	AIS_M7	Ctrl_F3	AIS_M8	AIS_M9	Ctrl_F4	AIS_M10	Ctrl_M5	AIS_F1	Ctrl_F5	Ctrl_F6	AIS_F2	AIS_F3	AIS_F4	AIS_F5	AIS_F6	Ctrl_F7
ENSG00000255406	125	0	0	1	4	0	1	0	0	3	0	1	0	22	1	1	20	331	1	1	1	0	0	0	0	3	0	0
ENSG00000255411	12	19	8	3156	4180	1844	424	1067.5	220	2226	334	1669	1387	3688	1778	1751	2503	796	43	306	305	27	28	19	2768.5	4524	114	904
ENSG00000255418	14	268	140	2341	1301	375	1368	2856	12	1963	782	1615.5	931	948	1315.333333	1577	2239	2265	31	5679	921	32	44	3194.5	442	3202	404	10
ENSG00000255426	0	0	1	0	1	1	1	1	0	1	0	0	1	65	3	2	2	3	0	1	1	2	3	0	3	2	1	1
ENSG00000255427	1	2	2	2	3	4	464	6	464	2	5	206	2	29	2	4	101	1	40	614	6	0	3	1	2	82	5	3
ENSG00000255429	1084	562	905	864	27	10	530	391	372	120	155	1018	21	577	195	297	874	514	230	1300	27	2116	843	168	269	690	383	540
ENSG00000255433	350	405	360	416	2377	423	687	368	1554	2499	45	1363	729	1210	680	448	1375	1430.5	335.5	808	2213	2076	628	745	1419	2993	725	296
ENSG00000255447	10	471	133	271	517	233	511	22	11	562	612	75	14	452	207	603	280	249	79	17	766	19	23	750	497	854.0067418	730	114
ENSG00000255451	0	1	1	4	1	0	317	243	1	0	0	0	0	6	1	1	1	249	19	1	6	3	2	2	1	2	0	0
ENSG00000255455	351	0	1	78	162	106	0	1	1	2	1	0	1	74	1	2	3	3	0	196	0	4	2	1	3	161	1	1
ENSG00000255458	6812	2294	2034	2598	5623	4495	4612	1156	3864	2655	3298	4425	4389	1708	4715	3714	8687	3424	2075	6225	4042	4732	10097	3436	5696	2271	2116	2392
ENSG00000255465	290	0	2	10	413	1	1	1	2	1	0	2	1	0	0	0	26	0	0	0	3	6	0	0	1	80	0	0
ENSG00000255470	138	137	239	141	591	3	4	262	156	231	2	681	3	63	156	534	54	7	49	4	7	9	3	164	386	142	4	34
ENSG00000255474	0	0	0	3	2	0	1	1	1	1	4	2	2	0	2	1	3	2	1	1	2	0	19	0	0	5	1	0
ENSG00000255475	1	6	257	9	2	591	3	3	3	3	3	0	0	28	3	3	278	381	16	4	8	602	1	443	0	166	1	2
ENSG00000255477	0	0	0	0	0	0	0	0	0	0	0	0	4	133	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000255479	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSG00000255484	3	0	1	2	0	1	3	1	138	1	0	0	0	1	1	3	1	2	4	0	1	3	11	0	14	30	0	0
ENSG00000255491	378	19	1	3	9	2	7	7	1	2	5	8	3	216	7	11	6	3	1	7	580	13	567	162	2	189	246	2
ENSG00000255494	13	36	628	2272	907	533	278	259	152	57	277	240	48	1295	44	44	504	473	199	434	602	80	57	263	342	538	181	42
ENSG00000255502	297	399	473	2815	573	196	413	1141	1265	658	432	3168	718	4576.014787	1366.223527	2126	2269.5	1634.2989	118	1322	177	391	764	391	48	6060.546565	356	639
