"","Ctrl_F1","Ctrl_F2","Ctrl_F3","Ctrl_F4","Ctrl_F5","Ctrl_F6","Ctrl_F7","Ctrl_M1","Ctrl_M2","Ctrl_M3","Ctrl_M4","Ctrl_M5","AIS_F1","AIS_F2","AIS_F3","AIS_F4","AIS_F5","AIS_F6","AIS_M1","AIS_M2","AIS_M3","AIS_M4","AIS_M5","AIS_M6","AIS_M7","AIS_M8","AIS_M9","AIS_M10"
"MIMAT0005826",0.35752865747225,0.252929896350129,0.437696413848485,0.212383665623145,0.213071237071284,0.273696730373022,0.643731927724161,0.240192207367,3.75639042181119,1.11842008545523,0.67579391546428,0.673922061591064,0.526196049815599,0.459651815499259,0.236799181854889,0.435064695472404,0.263788225206731,0.722314940505193,0.223836606192309,0.712271340951751,0.205488562124215,0.228979138118793,0.377194592151007,0.236779726262808,0.523693412263377,8.31114239172941,1.0694905761055,0.758805076100515
"MI0022666",2.11600289111528,0.615083876159092,4.38364674392034,1.63484306026552,1.08100463687217,0.510032691264966,8.1298305061993,0.591169388010014,0.609311460183905,4.49152081630543,0.576828249490126,0.576455231402233,3.75043918026866,0.537585921251969,1.15447474958047,0.53361496303349,0.635218362046911,5.72128250506886,1.2921519689801,1.15135396023603,0.733500053701124,0.569833313343963,0.737665528165674,0.584705360967686,0.548402580431369,0.540121402474898,0.702898919953042,1.20106863092949
"MIMAT0004690",0.288599798434033,4.59683192094777,0.404124482321377,3.85162666086537,-0.0772943123153804,-0.14511991305436,-0.0110046543292133,0.0293436698049991,11.2956604201584,-0.0111233979762708,0.756819311090236,0.000826540973526191,0.855449047187221,0.402144238966112,0.017023356979182,-0.0894792299231446,4.6670268473469,0.0199929885876438,3.6533062260144,0.0159958842908523,-0.111158397756107,-0.0123822350214076,1.67676767496747,0.0169519792805115,-0.0569260374233078,-0.0749560516524164,-0.119498952793334,-0.0525179054060629
"MI0006382",1.55988843742627,2.26463204545887,2.94995943673808,2.19342199361434,2.81728197407833,1.99977112854627,1.48832596031364,4.50502659932816,1.95164870922495,1.48828955938537,4.57592610375514,2.50425224536443,4.88997616706305,2.61740279955342,2.28852225027687,2.49807896697647,5.11537476951427,1.49811212966626,1.94732879260326,3.50342622128131,1.77199313242174,2.1821948010234,2.17481462928174,1.85431813705023,2.00966573217464,1.93472045791675,1.65125949738285,1.70657609886535
"MIMAT0017994",5.78689423227477,5.86248234403232,3.04747963852464,2.20276167495868,2.43293506453165,2.03505969580571,2.08085176866414,4.22783979041781,5.05646663471965,3.98825047149624,8.90497313785254,1.76035002282632,1.97695142011695,1.73104943191847,2.40722079817007,2.26475861502141,1.80685543959628,1.76794201789708,6.08707517919341,4.83960411373106,2.9126198035599,3.64894610378021,2.05827798343954,1.76671913202491,1.73908605228214,2.09286217804584,1.92357756156625,2.32735908462126
"MIMAT0000244",0.487726895786536,0.472101037650906,1.81841947204187,0.579012554063617,0.462278571423169,0.458884861300513,0.847688292278434,0.468860556551656,0.471305889869916,0.677685049692974,0.878403206093058,0.466936330549461,0.463464606422968,0.462101157730915,0.468013609551791,0.46162700141123,1.15080915802277,0.468215552955922,0.464840115688517,0.46794406115727,0.460514122010711,0.466087376009299,1.07610745024249,1.08393182039184,0.946270434383241,3.90278243072895,1.23666692903509,0.46366360698307
"MI0000439",2.26147433953539,10.8822651386367,5.80187123927968,1.84273133045119,1.68034421500887,1.71310755096589,1.67567386401177,3.20849353488713,9.97981301242592,1.6752924154685,2.79692940838359,1.71344686488442,2.7245836323898,2.33426611935989,2.7395870687752,1.41043856916412,5.10210886409375,1.77373691562063,1.17364242345544,2.10542222891019,2.32753063547053,1.18735997482945,1.87190953615764,1.20794653809051,1.15755952410366,2.16107589549855,2.21905857771638,1.80252708318741
"MI0020361",1.70009661623297,2.0332765345915,2.30427862795195,2.07091509900813,2.4696562624737,1.74200022571838,2.21307516758746,2.87172191598237,2.01534270649114,2.06798435985585,2.37993174820701,3.56663761668177,3.02016231030942,1.88729903805685,2.64919576621152,1.64384536457375,4.61837356874457,4.04684833113571,1.65295520298863,2.42985368303656,4.12463581884266,1.88801106963689,1.94286886043783,1.66188915243097,1.94990716608231,4.33855845900536,1.89942822838694,2.07931829063615
"MI0022653",0.484692697105853,-0.860912673843946,3.71579992292714,-0.983327542397567,-0.48163041270365,-1.02621264854034,-0.938460541909201,-0.900142599438402,0.0732889094374033,3.50253569827444,-0.927947636575449,-0.928726766894113,-0.967529668280321,-0.983522512834502,-0.912118367709654,-0.989349290352835,-0.78794127560655,-0.909183258246219,-0.952427727675993,0.350588543034586,-0.650485075904097,-0.205999482466764,-1.0028624139172,-0.912189311274961,-0.968136513187531,-0.979853560864657,-0.696265140831438,-0.965283831732427
"MIMAT0004954",0.381174397171142,5.32729797523503,3.73665859887705,0.527398307751198,0.182783234569802,0.145765092717534,0.221196029179806,0.245583538688027,0.266521110980776,0.221125351030515,0.804696096893721,3.50961615168963,0.88585466839934,0.180937004437082,4.30174362784994,0.175957384228199,0.295700861979113,0.239866681835617,0.208473225404566,0.237434755416412,3.39317690986851,0.220376472402753,1.37126850329691,0.852344076485841,0.611519487667989,0.18410165855745,0.373074888638177,0.19689143187662
"MIMAT0004551",1.55964950842273,1.26748157197468,2.49357307466963,1.03889403172362,0.592057566368745,0.718661489684149,0.611842564853026,0.625156506033045,1.23963506903222,13.0339693584295,1.07346296588417,1.07144621612156,0.91331489850266,0.591142755244887,0.620985770763894,3.15736014134452,1.36141647574301,0.621982509145935,0.605129900023183,1.11282015011642,0.753040842329147,0.611405362930903,2.26670604410291,0.620961879901847,0.597868596745594,0.859106952704786,0.853310062068662,0.599157069953819
"MI0016819",2.12270942777206,1.89761567295865,2.57383092804822,1.49249760841829,1.80306925985749,1.46762714894714,1.5799603671969,1.80734012051949,2.51660832308661,2.46591026821534,2.07758597027919,1.39814938226499,4.01813856651199,2.04341201982311,1.78207698424286,1.39093561398353,1.40913553878455,1.39989655725094,1.78778573207343,2.57649424737913,1.86609620561275,1.57817300988467,1.45647737479625,1.61665430574198,1.80475956847395,1.67290902611022,1.67231781197397,1.89436443391025
"MI0017356",0.635705992868995,0.192706939575545,0.226262901169302,0.185482978799328,3.0082635306763,0.212713387497716,0.188361704038285,0.190291252818876,0.474506375762106,0.188356350044117,0.188936978167526,0.188902775853796,0.431447824922058,0.458009307574453,0.575618586996004,0.185135639332337,0.194794911373142,0.189811989314402,0.187414111697334,0.189618980712469,0.184347545405232,0.18829968338183,0.254949029159531,0.189664983255937,0.429531636135232,0.185687494056719,0.392469896355486,0.186579326731061
"MI0003130",0.330762868178597,0.817653532331933,0.362516087157794,0.459099087794516,0.233978064778836,0.288852950873327,0.248741235012367,0.25857695494631,1.09741291712184,0.87130783763957,0.251734980843995,2.46213556681477,0.238536792037438,0.627749716261168,0.255504245195725,3.16954598426192,0.895050376165018,3.26442886839513,0.575486717860079,0.688609471340332,0.380100722308632,0.623052631069105,0.383096777663368,0.255486621989768,0.715331107246503,0.472394158677408,0.225455351538476,0.731061213445033
"MI0000802",0.50560584325432,0.908637329919442,0.570788270356458,0.359302125323845,0.359747428171402,0.350322393187198,0.370417841616874,1.848553244168,0.384233954460616,0.719788561744268,0.372615878351174,0.372485407942126,0.363012415269745,0.359257758213366,0.375399750051617,0.357947428527078,10.4881179890666,0.375944754579414,0.366780557892487,1.04932355718098,2.74328091682138,0.370180416146971,0.355022090254984,0.375386691389769,0.362865603364346,0.360098390774172,0.353715033074644,0.363558788811662
"MI0025240",6.083168246603,5.51566519157782,6.24198124108884,4.37153604761404,3.45541682345573,3.05399451757306,5.19612820046485,6.40450918655395,3.25246286470923,3.82559367911827,3.74598341748843,4.16941535509845,5.57646747446186,3.76705404248746,3.14075469634538,5.34808999521125,2.75166570233665,3.14794783236938,3.0208136470513,6.57120515257101,5.37258769821295,4.74291617240609,3.10429767621747,5.48386049581295,2.96197450482954,3.47000537309763,2.95976144262726,3.34198285685961
